id,name,description,rarity,sell_value,category,subtype,max_stack,icon_path,weapon_up_draw_path,weapon_down_draw_path,weapon_up_stow_path,weapon_down_stow_path,combo_profile_path,upgrade_rune_slots,has_elemental_rune_slot,rune_kind,rune_element,magic_shape
2114,Dawnforge Maul,A two-handed maul warmed by forge-light.,Epic,188,Weapon,Mace,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/dawnforge_maul_combo.tres,3,true,,,
2121,Greenbark Hatchet,A woodsman hatchet with a greenwood haft.,Common,23,Weapon,Axe,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/greenbark_hatchet_combo.tres,0,false,,,
2122,Embercleave Axe,A broad axe with emberstone set near the beard.,Uncommon,48,Weapon,Axe,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/embercleave_axe_combo.tres,1,true,,,
2123,Moonfang Cleaver,A crescent cleaver with a silvered edge.,Rare,96,Weapon,Axe,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/moonfang_cleaver_combo.tres,2,true,,,
2124,Stormroot Reaver,A reaver axe bound to storm-dark roots.,Epic,186,Weapon,Axe,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/stormroot_reaver_combo.tres,3,true,,,
2131,Twin Reed Blades,Paired reed-light blades for quick cuts.,Common,21,Weapon,Twin Blade,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/twin_reed_blades_combo.tres,0,false,,,
2132,Silverwind Pair,A matched pair that moves with a silver whistle.,Uncommon,44,Weapon,Twin Blade,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/silverwind_pair_combo.tres,1,true,,,
2133,Duskpetal Fangs,Curved twin blades shaped like closing petals.,Rare,90,Weapon,Twin Blade,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/duskpetal_fangs_combo.tres,2,true,,,
2134,Eclipse Twinblades,A rare matched set with black and white edges.,Epic,176,Weapon,Twin Blade,1,res://ArtAssets/InventoryItems/GearIcons/Knight_Blade_Sprite.tres,res://ArtAssets/Characters/Selene/WepUp/Selene_Wepup_Sword_Draw.png,res://ArtAssets/Characters/Selene/WepDown/Selene_Wepdwn_Sword_Draw.png,res://ArtAssets/Characters/Selene/StowUp/Selene_Wepup_Sword_Stow.png,res://ArtAssets/Characters/Selene/StowDown/Selene_Wepdwn_Sword_Stow.png,res://Core/Combat/Data/Combos/eclipse_twinblades_combo.tres,3,true,,,
4201,Warden Wrap,Tier 1 armor seeded for Physical resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Physical:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4202,Warden Coat,Tier 2 armor seeded for Physical resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Physical:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4203,Warden Mantle,Tier 3 armor seeded for Physical resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Physical:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4204,Stormguard Wrap,Tier 1 armor seeded for Electricity resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Electricity:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4205,Stormguard Coat,Tier 2 armor seeded for Electricity resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Electricity:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4206,Stormguard Mantle,Tier 3 armor seeded for Electricity resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Electricity:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4207,Frostveil Wrap,Tier 1 armor seeded for Ice resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Ice:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4208,Frostveil Coat,Tier 2 armor seeded for Ice resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Ice:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4209,Frostveil Mantle,Tier 3 armor seeded for Ice resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Ice:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4210,Cinderhide Wrap,Tier 1 armor seeded for Fire resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Fire:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4211,Cinderhide Coat,Tier 2 armor seeded for Fire resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Fire:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4212,Cinderhide Mantle,Tier 3 armor seeded for Fire resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Fire:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4213,Glassleaf Wrap,Tier 1 armor seeded for Acid resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Acid:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4214,Glassleaf Coat,Tier 2 armor seeded for Acid resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Acid:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4215,Glassleaf Mantle,Tier 3 armor seeded for Acid resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Acid:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4216,Duskwoven Wrap,Tier 1 armor seeded for Darkness resistance. Resistance stat is future integration.,Common,20,Armor,Armor:Darkness:Tier1,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4217,Duskwoven Coat,Tier 2 armor seeded for Darkness resistance. Resistance stat is future integration.,Uncommon,55,Armor,Armor:Darkness:Tier2,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4218,Duskwoven Mantle,Tier 3 armor seeded for Darkness resistance. Resistance stat is future integration.,Rare,115,Armor,Armor:Darkness:Tier3,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4401,Brass Ram Charm,A brass charm that steadies forceful strikes.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4402,Farspell Lens,A clear lens for focusing distant spellwork.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4403,Harestep Anklet,A light anklet tied with quicksilver thread.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4404,Warmroot Brooch,A living brooch that pulses with gentle warmth.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4405,Raincaller Bead,A blue bead that hums after rainfall.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4406,Stoneward Token,A token carved from old boundary stone.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4407,Foxglint Coin,A lucky coin that never lands flat.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4408,Quiet Mind Ring,A simple ring that cools frantic thoughts.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4409,Finisher Knot,A red cord tied for decisive final blows.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4410,Scholar Moss Locket,A locket packed with memory-holding moss.,Uncommon,40,Trinket,Charm,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
4301,Debug Leather Vest,Debug armor used to verify equipment stat modifiers.,Common,1,Armor,Armor,1,res://ArtAssets/InventoryItems/GearIcons/tile073.png,,,,,,,,,,
4421,Debug Focus Ring,Debug trinket used to verify magic range equipment modifiers.,Common,1,Trinket,Ring,1,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
1101,Minor Health Potion,Restores a minor amount of health when healing consumables are wired.,Common,8,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1102,Health Potion,Restores a standard amount of health when healing consumables are wired.,Common,16,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1103,Greater Health Potion,Restores a greater amount of health when healing consumables are wired.,Uncommon,34,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1104,Superior Health Potion,Restores a superior amount of health when healing consumables are wired.,Rare,70,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1111,Minor Mana Potion,Restores a minor amount of mana when mana consumables are wired.,Common,8,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1112,Mana Potion,Restores a standard amount of mana when mana consumables are wired.,Common,16,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1113,Greater Mana Potion,Restores a greater amount of mana when mana consumables are wired.,Uncommon,34,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1114,Superior Mana Potion,Restores a superior amount of mana when mana consumables are wired.,Rare,70,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1121,Strength Draught,Permanently grants +1 Strength.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1122,Agility Draught,Permanently grants +1 Dexterity.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1123,Vitality Draught,Permanently grants +1 Vitality.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1124,Intelligence Draught,Permanently grants +1 Intelligence.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1125,Spirit Draught,Permanently grants +1 Spirit.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1126,Defense Draught,Seeded as +1 defense for future stat integration.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1127,Luck Draught,Permanently grants +1 Luck.,Uncommon,45,Consumable,Stat Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
1131,Traveler Experience Tonic,Grants experience when XP consumables are wired.,Rare,80,Consumable,Potion,20,res://ArtAssets/InventoryItems/Consume/HealthPotion.tres,,,,,,,,,,
3101,Sunleaf,A bright herb used in restorative brewing.,Common,2,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3102,Moonmint,A cool mint prized by night herbalists.,Common,2,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3103,Embercap,A warm red cap used in fire-aspected mixtures.,Common,3,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3104,Frostvine,A pale vine that stays cold after harvest.,Common,3,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3105,Glowroot,A root with a soft lantern glow.,Common,3,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3106,Bitterthorn,A thorny sprig used to sharpen tonics.,Common,2,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3107,Dreamsage,A sleepy sage used in spirit tinctures.,Uncommon,5,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3108,Silverbloom,A silver flower used in refined elixirs.,Uncommon,5,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3109,Ashpetal,A grey petal that holds trace heat.,Uncommon,5,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3110,Star Anise Fern,A star-shaped fern with a sweet bite.,Uncommon,6,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3111,Stormbud,A crackling bud that tingles on contact.,Uncommon,6,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3112,Grave Moss,A dark moss used in shadow mixtures.,Uncommon,6,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3113,Honeyreed,A reed with sticky golden sap.,Common,3,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3114,Kingsfoil Sprig,A noble sprig used in strong restoratives.,Rare,9,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3115,Glasscap Mushroom,A translucent cap used in acid reagents.,Rare,9,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3116,Lantern Thyme,A fragrant herb that glows under moonlight.,Rare,8,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3117,Witchhazel Bud,A sharp bud used in focus tonics.,Rare,8,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3118,Dewlace,A delicate wet herb gathered at dawn.,Common,3,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3119,Bloodberry Cluster,A red berry cluster used in vitality brews.,Uncommon,6,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3120,Night Orchid,A rare orchid with dusk-colored petals.,Rare,10,Crafting,Herb,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3121,Greenwood,Fresh workable wood for simple hafts.,Common,2,Crafting,Wood,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
3122,Ironbark,Dense barkwood for sturdy grips.,Uncommon,5,Crafting,Wood,99,res://ArtAssets/UI/Icons/15.png,,,,,,,,,,
